,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
604,0.9,0.0,0.140477642,0.070431568,0.157129031,2.384781754,24.30756779,0.9,5.727776667,0.004960606,Healthy,No
605,0.93,-0.9,0.13586451,0.073135293,0.154280679,-1.548900349,53.05956956,0.03,6.027974521,0.005348771,Healthy,No
606,0.33,0.0,0.133575025,0.065018675,0.148544465,0.016607665,-0.316907097,0.33,2.22155702,0.004227428,Healthy,No
607,0.36,-0.1,0.13908999,0.063978907,0.153085555,0.032229142,0.048493689,0.26,2.351626192,0.004093301,Healthy,No
608,0.32,0.0,0.136399594,0.056427651,0.147599796,0.040896874,-0.297155213,0.32,2.168024676,0.00318408,Healthy,No
609,0.32,-0.1,0.141985816,0.06064986,0.154384748,-0.126973353,-0.061947238,0.22,2.072743609,0.003678405,Healthy,No
610,0.36,0.0,0.13940404,0.06141365,0.152319773,0.021395423,-0.119537778,0.36,2.363448906,0.003771636,Healthy,No
611,0.99,-0.2,0.141487854,0.074762121,0.160007907,2.757642385,29.91691477,0.79,6.187194229,0.005589375,Healthy,No
612,0.41,0.0,0.136239919,0.058646652,0.148314794,0.069766825,0.223521998,0.41,2.764390442,0.00343943,Healthy,No
613,0.97,0.0,0.138548387,0.070018807,0.155220317,3.045664279,34.92883824,0.97,6.249181934,0.004902633,Healthy,No
614,0.3,0.0,0.135718593,0.059335363,0.148110376,-0.072871257,-0.396893829,0.3,2.025516433,0.003520685,Healthy,No
615,0.3,-0.2,0.132815338,0.062031641,0.146574062,-0.205752719,0.527855177,0.1,2.046746855,0.003847924,Healthy,No
616,1.0,0.0,0.137886754,0.071833163,0.155459136,2.916991335,32.34229774,1.0,6.432558585,0.005160003,Healthy,No
617,0.3,-1.0,0.134672048,0.070160483,0.151835723,-4.244254383,67.46628776,-0.7,1.975819616,0.004922493,Healthy,No
618,0.9,0.0,0.135809717,0.068786354,0.152220408,1.334871994,14.43008857,0.9,5.912479223,0.004731563,Healthy,No
619,0.29,-0.1,0.13124368,0.051089053,0.140827398,-0.193147918,0.048156008,0.19,2.05925839,0.002610091,Healthy,No
620,0.38,0.0,0.137613751,0.061479469,0.150709814,0.156056623,0.059210432,0.38,2.521401831,0.003779725,Healthy,No
